"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","8","5-Day Lean Six Sigma Green Belt (LSSGB) Certification Program","61","What You'll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","0","","0","","0","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","1","","0","","0","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","0","","0","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-04/","3","Events Search and Views Navigation","34","8:00 AM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","6","Veterans Transition Support: Resource Brief & Q&A","49","What You’ll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","3","Details","7","Venue","5","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","6","Veterans Transition Support: Resource Brief & Q&A","49","What You’ll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","2","Events Search and Views Navigation","34","Calendar of Events","18","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-05/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-17/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-25/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-13/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-01/","2","Events Search and Views Navigation","34","8:00 AM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","5","Event Overview","14","Why Take OSHA 10?","17","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-21/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-20/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","3","FREE OSHA Accident Investigation & Recordkeeping Training","57","Details","7","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","3","Details","7","Venue","5","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-06/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-18/","2","Events Search and Views Navigation","34","8:00 AM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/today/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-26/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-10/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-14/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-06/","2","Events Search and Views Navigation","34","Calendar of Events","18","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-02/","3","Events Search and Views Navigation","34","9:00 AM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-22/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/events/2026-04-30/","2","Events Search and Views Navigation","34","9:00 AM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-19/","2","Events Search and Views Navigation","34","4:00 PM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-27/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-07/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-15/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/events/month/","2","Events Search and Views Navigation","34","Calendar of Events","18","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-03/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-23/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-11/","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-30/","3","Events Search and Views Navigation","34","8:00 AM","7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","6","Veterans Transition Support: Resource Brief & Q&A","49","What You’ll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","1","Events from this organizer","26","","0","Indexable",""
"https://veteranstransitionsupport.org/venue/vts/","1","Events at this venue","20","","0","Indexable",""
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-12","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-24","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-04","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-16","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-28","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-08","1","Events Search and Views Navigation","34","","0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-05/","2","Events Search and Views Navigation","34","Calendar of Events","18","Non-Indexable","Canonicalised"
