"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://veteranstransitionsupport.org/privacy-policy/","200","OK","604","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","","","Review the Veterans Transition Support privacy policy and how your information is protected.","","https://veteranstransitionsupport.org/privacy-policy/","","89","0","27","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/privacy-policy/","https://veteranstransitionsupport.org/privacy-policy/","","","","",""
"https://veteranstransitionsupport.org/events-calendar/","200","OK","11","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","","","View the events calendar for upcoming veteran training, workshops, and support sessions.","","https://veteranstransitionsupport.org/events-calendar/","","5","0","28","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/events-calendar/","https://veteranstransitionsupport.org/events-calendar/","","","","",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","200","OK","9","0","","","Military Transition Programs For Veterans | VTS Nonprofit","","","","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","","https://veteranstransitionsupport.org/osha-30-safety-training/","","2","0","28","0","10","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/osha-30-safety-training/","https://veteranstransitionsupport.org/osha-30-safety-training/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-08/","200","OK","408","0","","","Events for May 8, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","7","0","39","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-08/","https://veteranstransitionsupport.org/events/2026-05-08/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-28/","200","OK","143","0","","","Events for May 28, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","7","0","36","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-28/","https://veteranstransitionsupport.org/events/2026-05-28/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-16/","200","OK","143","0","","","Events for May 16, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","7","0","36","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-16/","https://veteranstransitionsupport.org/events/2026-05-16/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-04/","200","OK","641","0","","","Events for May 4, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","7","0","42","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-04/","https://veteranstransitionsupport.org/events/2026-05-04/","","","","",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","200","OK","374","0","","","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm - Veterans Transition Support (VTS)","","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm","","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","","7","0","32","0","14","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-24/","200","OK","143","0","","","Events for May 24, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","7","0","36","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-24/","https://veteranstransitionsupport.org/events/2026-05-24/","","","","",""
"https://veteranstransitionsupport.org/events/2026-05-12/","200","OK","143","0","","","Events for May 12, 2026 – Veterans Transition Support (VTS)","","Archives Events","","Events Archive - Veterans Transition Support (VTS)","","https://veteranstransitionsupport.org/events/","","7","0","36","0","13","0","follow, index","","https://veteranstransitionsupport.org/events/2026-05-12/","https://veteranstransitionsupport.org/events/2026-05-12/","","","","",""
